COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
"ϧⲉⲛ-, ⲛϧⲏⲧ⸗",['8'],[],"['~ϩⲏⲧ', 'ⲭⲉⲛ', 'ⲉⲛϧⲏⲧⲧⲉⲛ', 'ⲉⲛϧⲏⲧⲧ', 'ⲛϧⲉⲛ', 'ⲉⲛϩⲏⲧϥ', 'ⲉⲛϩⲏⲧⲥ', 'ⲉⲛϩⲏⲧⲟⲩ', 'ⲉⲛϩⲏϯ', 'ⲛϩⲏⲧⲉⲛ', 'ⲛϩⲏⲧⲕ', 'ⲛϩⲏϯ', 'ⲛϩⲏⲧϥ', 'ⲛϩⲏⲧⲥ', 'ϩⲉⲙ', 'ⲛϩⲏⲧⲟⲩ', 'ⲛϧⲏⲧⲧⲉⲛ', 'ⲛϧⲏⲧⲧ', 'ⲉⲛϧⲏⲧϥ', 'ⲉⲛϧⲏⲧⲥ', 'ⲉⲛϧⲏⲧⲉⲛ', 'ⲉⲛϧⲏⲧⲕ', 'ⲉⲛϧⲏⲧⲟⲩ', 'ⲉⲛϧⲏϯ', 'ⲉⲛϧⲏⲧ', 'ϧⲉⲛⲛ', 'ⲛϩⲏⲧ', 'ϩⲉⲛ', 'ϧⲉⲙ', 'ⲛϧⲏϯ', 'ⲛϧⲏⲧϥ', 'ⲛϧⲏⲧⲥ', 'ⲛϧⲏⲧⲉⲛ', 'ⲛϧⲏⲧⲕ', 'ⲛϧⲏⲧⲟⲩ', 'ⲛϧⲏⲧ', 'ϧⲉⲛ']",[]
ⲫⲉ ,['1'],[],"['ⲫⲉ', 'ⲫⲏⲟⲩⲓ']","[' ""sky, heaven""']"
ⲃⲟⲗ ,['9'],[],"['ⲏⲃⲟⲗ', 'ⲉⲡⲟⲗ', 'ϣⲁⲃⲟⲗ', 'ⲉϥⲟⲗ', 'ⲛⲃⲟⲗ', 'ϣⲁⲉⲃⲟⲗ', 'ⲙⲃⲟⲗ', 'ⲥⲁⲃⲟⲗ', 'ⲃⲟⲗ', 'ⲉⲃⲟⲗ']","[' ""outside""']"
ⲥⲟⲙⲥ ,['5'],[],"['ⲥⲱⲙⲥ', 'ⲥⲟⲙⲥ']","[' ""look""']"
"ϧⲁ-, ϧⲁⲣⲟ⸗",['8'],[],"['~ⲁⲣⲱⲟⲩ', 'ϧⲉ', 'ϩⲁⲣⲱⲧⲉⲛ', 'ϩⲁⲣⲟ', 'ϧⲁⲣⲟϥ', 'ϧⲁⲣⲱⲟⲩ', 'ϧⲁⲣⲱⲧⲉⲛ', 'ϧⲁⲣⲟⲥ', 'ϧⲁⲣⲟⲛ', 'ϧⲁⲣⲟ', 'ϧⲁⲣⲟⲕ', 'ϧⲁⲣⲟⲓ', 'ⲭⲁ', 'ϩⲁⲣⲟϥ', 'ϩⲁⲣⲱⲟⲩ', 'ϩⲁⲣⲟⲥ', 'ϩⲁⲣⲟⲛ', 'ϩⲁⲣⲟⲕ', 'ϩⲁⲣⲟⲓ', 'ϩⲁ', 'ϧⲁ']",[]
ⲥⲱⲧⲏⲣ,['31'],[],['ⲥⲟⲧⲏⲣ'],[]
ϭⲱⲓⲥ (*) ϭ̅ⲥ̅ ,['1'],[],"['ϫⲓⲥⲉⲩ', 'ϭⲓⲟⲩⲥ', 'ⲧⲍ', 'ⲡⲧⲍ', 'ⲡⲟⲥ', 'ⲟⲥ', 'ϭⲓⲥⲉⲩ', 'ⲡϭⲥ', 'ϭⲥ']","[' ""lord""']"
ⲭⲣⲓⲥⲧⲟⲥ,['32'],[],"['ⲭⲥ', 'ⲭⲥ', 'ⲭⲣⲏⲥⲧⲟⲥ', 'ⲭⲣⲏⲥⲧⲟⲥ', 'ⲭⲣⲥ', 'ⲭⲣⲥ', 'ⲡⲭⲣⲥ', 'ⲡⲭⲥ']",[]
ⲫⲏ ,['11'],[' (dem. pronoun)'],"['ⲡⲏ', '~ⲏ', 'ⲧⲏ', 'ⲑⲏ', 'ⲫⲏ', 'ⲛⲏ', 'ⲛⲓ']",[]
ϣⲓⲃϯ ,['5'],[],['ϣⲓⲃϯ'],"[' ""change""']"
